Sport,Topsis_Score
Trampolining,0.09085581216670051
Rugby sevens,0.2547131606492417
Track cycling,0.1414375464733973
Ultimate frisbee,0.16872544594640518
Mountain biking,0.22834353599878507
Road cycling,0.15408398385317904
Freestyle BMX,0.08696814261816557
BMX racing,0.12783839595789648
Flag football,0.08808897318725513
3x3 basketball,0.1675004058463357
Water polo,0.2669218723703637
Breaking,0.22847270530603975
Marathon swimming,0.07986907738345271
Canoe slalom,0.09613504529506184
Canoe sprint,0.08010536943352914
Modern pentathlon,0.1075322079811199
Beach volleyball,0.23014270390186306
Diving,0.2444776433201186
Sport climbing,0.13065893470938442
Fencing,0.266303300348764
Rhythmic gymnastics,0.16060949886052905
Sailing,0.27818879581371714
Artistic swimming,0.22633021314306412
Rowing,0.31733966240635736
Artistic gymnastics,0.2509564281293807
Triathlon,0.31621666818212313
Taekwondo,0.27546041023594664
Weightlifting,0.30338974965321536
Archery,0.31509204616208
Judo,0.27117597018770023
Esports,0.34257239429368574
Skateboarding,0.41825781743438667
Equestrian,0.43922208616348657
Athletics,0.42573643212956264
Handball,0.37212524606669434
Table tennis,0.44298702901999965
Badminton,0.45285886365500005
Surfing,0.5235684847059371
Wrestling,0.4800028238796303
Rugby union,0.5753694510931846
Ice hockey,0.5262938892866095
Shooting,0.611587590808851
Boxing,0.6220175152514302
Swimming,0.6757107163351234
Volleyball,0.6167338328405236
Tennis,0.7106173074349432
Baseball,0.650187206009606
Golf,0.7517612142676341
American football,0.6861743571482747
Basketball,0.7699368058052554
Cricket,0.8040653804804746
Football,0.9891591830983308
